KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,2147483647
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,3928
NUMBER_OF_ENTRY_POINTS,1
NUMBER_OF_NODES_OF_CALL_GRAPH,7
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,5
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,0
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,2
NUMBER_OF_NODES_OF_HEAP_GRAPH,13
NUMBER_OF_CLASSES,8179
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,8
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,0
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,534
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,1
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,0
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,0
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,0
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,0
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
